Year,Goal,Target,Indicator,Country,Education Level,Location,Nature,Quartile,Sex,Value
2000,4,4.1,4.1.2,China,,,,,,28.1
2000,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,29.7
2000,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,31.1
2000,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,90.8
2000,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,87.6
2000,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,87.7
2000,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,66.1
2000,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,70.4
2000,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,68.3
2001,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,32.3
2001,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,31.3
2001,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,91.5
2001,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,30.0
2001,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,69.5
2001,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,71.4
2001,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,67.6
2001,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,88.70001
2001,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,88.5
2002,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,72.29999
2002,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,70.6
2002,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,31.8
2002,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,32.7
2002,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,33.4
2002,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,92.1
2002,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,89.5
2002,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,89.60001
2002,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,68.9
2003,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,33.9
2003,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,33.5
2003,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,71.8
2003,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,73.5
2003,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,70.4
2003,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,34.4
2003,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,90.4
2003,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,90.6
2003,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,92.6
2004,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,93.1
2004,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,91.6
2004,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,91.2
2004,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,35.5
2004,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,72.2
2004,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,74.8
2004,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,73.29999
2004,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,35.2
2004,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,35.2
2005,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,74.2
2005,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,92.0
2005,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,92.6
2005,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,93.4
2005,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,36.7
2005,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,36.7
2005,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,37.2
2005,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,74.9
2005,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,76.0
2006,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,93.4
2006,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,92.7
2006,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,76.4
2006,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,77.10001
2006,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,76.6
2006,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,39.1
2006,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,93.7
2006,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,38.3
2006,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,38.0
2007,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,39.5
2007,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,40.2
2007,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,41.2
2007,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,78.4
2007,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,78.1
2007,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,78.7
2007,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,93.4
2007,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,94.2
2007,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,94.0
2008,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,80.1
2008,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,43.5
2008,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,42.3
2008,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,41.3
2008,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,94.3
2008,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,94.8
2008,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,93.9
2008,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,81.1
2008,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,79.0
2009,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,46.1
2009,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,81.7
2009,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,79.9
2009,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,83.20001
2009,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,94.3
2009,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,43.3
2009,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,44.7
2009,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,95.3
2009,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,94.4
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,MALE,96.35
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q4,BOTHSEX,98.36
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q3,BOTHSEX,97.85
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,FEMALE,97.09
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,BOTHSEX,96.69
2010,4,4.1,4.1.2,China,PRIMAR,URBAN,C,_T,BOTHSEX,99.2
2010,4,4.1,4.1.2,China,LOWSEC,URBAN,C,_T,BOTHSEX,91.28
2010,4,4.1,4.1.2,China,LOWSEC,RURAL,C,_T,BOTHSEX,77.78
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q2,BOTHSEX,94.76
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q1,BOTHSEX,93.16
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,FEMALE,85.83
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,FEMALE,43.02
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,BOTHSEX,43.97
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q2,BOTHSEX,34.93
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,MALE,44.92
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q4,BOTHSEX,54.05
2010,4,4.1,4.1.2,China,UPPSEC,URBAN,C,_T,BOTHSEX,60.05
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,MALE,84.05
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,BOTHSEX,84.94
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q4,BOTHSEX,87.26
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q5,BOTHSEX,91.22
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q3,BOTHSEX,89.14
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q2,BOTHSEX,85.47
2010,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q1,BOTHSEX,66.41
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q3,BOTHSEX,41.55
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q1,BOTHSEX,26.51
2010,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q5,BOTHSEX,60.19
2010,4,4.1,4.1.2,China,UPPSEC,RURAL,C,_T,BOTHSEX,27.84
2010,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q5,BOTHSEX,98.91
2010,4,4.1,4.1.2,China,PRIMAR,RURAL,C,_T,BOTHSEX,94.42
2011,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,49.6
2011,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,51.6
2011,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,83.60001
2011,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,81.1
2011,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,86.1
2011,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,46.9
2011,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,94.70001
2011,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,95.8
2011,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,94.4
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,FEMALE,93.61
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,BOTHSEX,93.28
2012,4,4.1,4.1.2,China,PRIMAR,URBAN,C,_T,BOTHSEX,96.08
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q1,BOTHSEX,89.4
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q2,BOTHSEX,93.84
2012,4,4.1,4.1.2,China,LOWSEC,RURAL,C,_T,BOTHSEX,77.16
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q1,BOTHSEX,73.94
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q3,BOTHSEX,87.71
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,FEMALE,56.59
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,BOTHSEX,54.77
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q2,BOTHSEX,40.98
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,MALE,52.8
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q1,BOTHSEX,49.94
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,MALE,92.95
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q4,BOTHSEX,93.14
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q3,BOTHSEX,92.68
2012,4,4.1,4.1.2,China,LOWSEC,URBAN,C,_T,BOTHSEX,92.02
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,FEMALE,87.8
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,MALE,81.98
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,BOTHSEX,84.78
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q4,BOTHSEX,84.29
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q5,BOTHSEX,90.62
2012,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q2,BOTHSEX,85.62
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q4,BOTHSEX,61.31
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q3,BOTHSEX,51.7
2012,4,4.1,4.1.2,China,UPPSEC,URBAN,C,_T,BOTHSEX,63.8
2012,4,4.1,4.1.2,China,PRIMAR,RURAL,C,_T,BOTHSEX,90.35
2012,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q5,BOTHSEX,97.54
2012,4,4.1,4.1.2,China,UPPSEC,RURAL,C,_T,BOTHSEX,43.83
2012,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q5,BOTHSEX,62.88
2013,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,MALE,48.9
2013,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,BOTHSEX,53.3
2013,4,4.1,4.1.2,China,UPPSEC,ALLAREA,E,_T,FEMALE,56.2
2013,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,BOTHSEX,84.0
2013,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,MALE,81.2
2013,4,4.1,4.1.2,China,LOWSEC,ALLAREA,E,_T,FEMALE,87.8
2013,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,BOTHSEX,94.6
2013,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,FEMALE,96.10001
2013,4,4.1,4.1.2,China,PRIMAR,ALLAREA,E,_T,MALE,94.2
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q4,BOTHSEX,94.22
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q3,BOTHSEX,98.11
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,FEMALE,98.02
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,BOTHSEX,97.21
2014,4,4.1,4.1.2,China,PRIMAR,URBAN,C,_T,BOTHSEX,97.58
2014,4,4.1,4.1.2,China,LOWSEC,URBAN,C,_T,BOTHSEX,87.14
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q5,BOTHSEX,85.83
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q3,BOTHSEX,79.66
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q2,BOTHSEX,86.51
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q1,BOTHSEX,79.43
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,FEMALE,61.56
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,BOTHSEX,60.87
2014,4,4.1,4.1.2,China,UPPSEC,RURAL,C,_T,BOTHSEX,49.04
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q5,BOTHSEX,98.57
2014,4,4.1,4.1.2,China,PRIMAR,RURAL,C,_T,BOTHSEX,96.78
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,_T,MALE,96.53
2014,4,4.1,4.1.2,China,LOWSEC,RURAL,C,_T,BOTHSEX,76.62
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q2,BOTHSEX,98.38
2014,4,4.1,4.1.2,China,PRIMAR,ALLAREA,C,Q1,BOTHSEX,95.83
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,FEMALE,88.61
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,MALE,77.02
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,_T,BOTHSEX,82.56
2014,4,4.1,4.1.2,China,LOWSEC,ALLAREA,C,Q4,BOTHSEX,84.1
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q2,BOTHSEX,55.57
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,_T,MALE,60.16
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q4,BOTHSEX,66.71
2014,4,4.1,4.1.2,China,UPPSEC,URBAN,C,_T,BOTHSEX,69.61
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q3,BOTHSEX,54.88
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q1,BOTHSEX,61.14
2014,4,4.1,4.1.2,China,UPPSEC,ALLAREA,C,Q5,BOTHSEX,77.02
2015,4,4.1,4.1.1,China,LOWSEC,,C,,BOTHSEX,78.9
2015,4,4.1,4.1.1,China,GRAD23,,C,,BOTHSEX,84.6
